candidate,topic,time,timelabel
Yang,Economy,153,2:33
Yang,Income inequality,47,0:47
Yang,Tech companies,81,1:21
Warren,Impeachment,73,1:13
Warren,Health care,239,3:59
Warren,Economy,146,2:26
Warren,Income inequality,200,3:20
Warren,Middle East policy,58,0:58
Warren,Gun control,75,1:15
Warren,Tech companies,162,2:42
Warren,Women’s rights,58,0:58
Warren,Party strategy,156,2:36
Steyer,Impeachment,48,0:48
Steyer,Income inequality,88,1:28
Steyer,Party strategy,65,1:05
Sanders,Impeachment,56,0:56
Sanders,Health care,101,1:41
Sanders,Economy,66,1:06
Sanders,Income inequality,71,1:11
Sanders,Middle East policy,60,1:00
Sanders,Tech companies,52,0:52
Sanders,Party strategy,114,1:54
O’Rourke,Impeachment,63,1:03
O’Rourke,Economy,73,1:13
O’Rourke,Income inequality,75,1:15
O’Rourke,Middle East policy,95,1:35
O’Rourke,Gun control,206,3:26
O’Rourke,Tech companies,74,1:14
O’Rourke,Party strategy,56,0:56
Klobuchar,Impeachment,80,1:20
Klobuchar,Health care,108,1:48
Klobuchar,Income inequality,101,1:41
Klobuchar,Middle East policy,52,0:52
Klobuchar,Gun control,55,0:55
Klobuchar,Tech companies,62,1:02
Klobuchar,Women’s rights,51,0:51
Klobuchar,Party strategy,51,0:51
Harris,Impeachment,72,1:12
Harris,Health care,57,0:57
Harris,Income inequality,82,1:22
Harris,Middle East policy,65,1:05
Harris,Gun control,65,1:05
Harris,Tech companies,132,2:12
Harris,Women’s rights,82,1:22
Gabbard,Impeachment,52,0:52
Gabbard,Economy,57,0:57
Gabbard,Middle East policy,138,2:18
Gabbard,Women’s rights,56,0:56
Castro,Impeachment,54,0:54
Castro,Economy,65,1:05
Castro,Income inequality,65,1:05
Castro,Middle East policy,59,0:59
Castro,Gun control,64,1:04
Castro,Tech companies,39,0:39
Castro,Women’s rights,52,0:52
Buttigieg,Impeachment,84,1:24
Buttigieg,Health care,114,1:54
Buttigieg,Income inequality,63,1:03
Buttigieg,Middle East policy,175,2:55
Buttigieg,Gun control,103,1:43
Buttigieg,Women’s rights,71,1:11
Buttigieg,Party strategy,81,1:21
Booker,Impeachment,51,0:51
Booker,Women’s rights,132,2:12
Booker,Economy,82,1:22
Booker,Income inequality,72,1:12
Booker,Middle East policy,97,1:37
Booker,Gun control,84,1:24
Booker,Tech companies,53,0:53
Biden,Impeachment,129,2:09
Biden,Health care,98,1:38
Biden,Income inequality,93,1:33
Biden,Middle East policy,190,3:10
Biden,Gun control,56,0:56
Biden,Women’s rights,86,1:26
Biden,Party strategy,128,2:08
